Ano,Acidentes,Homicidios,Roubos,Estupros
2012,1435,107,15798,75
2013,1551,86,17545,90
2014,1352,63,17559,81
2015,1282,57,16690,66
2016,731,52,17230,77
2017,603,53,21536,90
2018,620,51,18807,106
2019,641,38,17868,101
2020,433,54,15102,79
